2015-01-22 11:26:51 Notice: Notice (8): Use of undefined constant password - assumed 'password' in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 10]
2015-01-22 11:26:56 Notice: Notice (8): Use of undefined constant password - assumed 'password' in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 10]
2015-01-22 11:27:09 Notice: Notice (8): Use of undefined constant password - assumed 'password' in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 10]
2015-01-22 11:27:16 Notice: Notice (8): Use of undefined constant password - assumed 'password' in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 10]
2015-01-22 11:41:09 Notice: Notice (8): Undefined variable: bodyweight in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 26]
2015-01-22 12:12:01 Notice: Notice (8): Undefined variable: password in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 10]
2015-01-22 12:12:01 Notice: Notice (8): Undefined variable: username in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 12]
2015-01-22 12:12:08 Notice: Notice (8): Undefined variable: password in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 10]
2015-01-22 12:12:08 Notice: Notice (8): Undefined variable: username in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 12]
2015-01-22 12:12:19 Notice: Notice (8): Undefined variable: password in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 10]
2015-01-22 12:12:19 Notice: Notice (8): Undefined variable: username in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 12]
2015-01-22 12:12:31 Notice: Notice (8): Undefined variable: password in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 10]
2015-01-22 12:12:31 Notice: Notice (8): Undefined variable: username in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 12]
2015-01-22 12:13:32 Notice: Notice (8): Undefined variable: password in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 10]
2015-01-22 12:13:32 Notice: Notice (8): Undefined variable: username in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 12]
2015-01-22 12:16:08 Notice: Notice (8): Undefined variable: password in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 11]
2015-01-22 12:16:08 Notice: Notice (8): Undefined variable: username in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 13]
2015-01-23 11:04:11 Notice: Notice (8): Undefined index:  bodyweight in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 63]
2015-01-23 11:05:12 Notice: Notice (8): Undefined index:  bodyweight in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 63]
2015-01-23 11:07:29 Notice: Notice (8): Undefined index:  bodyweight in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 63]
2015-01-23 15:26:23 Notice: Notice (8): Undefined index:  id in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 17]
