2015-01-22 11:41:09 Warning: Warning (2): Missing argument 3 for RequestController::create_user() in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 17]
2015-01-22 12:12:01 Warning: Warning (2): Missing argument 1 for RequestController::check_login() in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 7]
2015-01-22 12:12:01 Warning: Warning (2): Missing argument 2 for RequestController::check_login() in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 7]
2015-01-22 12:12:08 Warning: Warning (2): Missing argument 1 for RequestController::check_login() in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 7]
2015-01-22 12:12:08 Warning: Warning (2): Missing argument 2 for RequestController::check_login() in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 7]
2015-01-22 12:12:19 Warning: Warning (2): Missing argument 1 for RequestController::check_login() in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 7]
2015-01-22 12:12:19 Warning: Warning (2): Missing argument 2 for RequestController::check_login() in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 7]
2015-01-22 12:12:31 Warning: Warning (2): Missing argument 1 for RequestController::check_login() in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 7]
2015-01-22 12:12:31 Warning: Warning (2): Missing argument 2 for RequestController::check_login() in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 7]
2015-01-22 12:13:32 Warning: Warning (2): Missing argument 1 for RequestController::check_login() in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 7]
2015-01-22 12:13:32 Warning: Warning (2): Missing argument 2 for RequestController::check_login() in [/home/an000357/www/home/paybyworkout/app/controllers/request_controller.php, line 7]
2015-01-22 22:59:07 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1048: Column 'bodyweight' cannot be null</span> in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo_source.php, line 685]
2015-01-23 11:04:11 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1048: Column 'bodyweight' cannot be null</span> in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo_source.php, line 685]
2015-01-23 11:05:13 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1048: Column 'bodyweight' cannot be null</span> in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo_source.php, line 685]
2015-01-23 11:07:29 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1048: Column 'bodyweight' cannot be null</span> in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo_source.php, line 685]
2015-02-05 12:12:05 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to MySQL server on '213.47.222.80' (4) in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 561]
2015-02-05 12:12:05 Warning: Warning (2): mysql_real_escape_string() expects parameter 2 to be resource, boolean given in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 684]
2015-02-05 12:12:05 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 613]
2015-02-05 12:12:05 Warning: Warning (2): mysql_errno(): supplied argument is not a valid MySQL-Link resource in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 695]
2015-02-21 22:20:19 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to MySQL server on '213.47.222.80' (4) in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 561]
2015-02-21 22:20:20 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 613]
2015-02-21 22:20:20 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/an000357/www/home/paybyworkout/cake/libs/debugger.php:686) in [/home/an000357/www/home/paybyworkout/cake/libs/controller/controller.php, line 742]
2015-02-21 22:22:20 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to MySQL server on '213.47.222.80' (4) in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 561]
2015-02-21 22:22:20 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 613]
2015-02-21 22:22:20 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/an000357/www/home/paybyworkout/cake/libs/debugger.php:686) in [/home/an000357/www/home/paybyworkout/cake/libs/controller/controller.php, line 742]
2015-02-21 22:22:41 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to MySQL server on '213.47.222.80' (4) in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 561]
2015-02-21 22:22:41 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 613]
2015-02-21 22:22:41 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/an000357/www/home/paybyworkout/cake/libs/debugger.php:686) in [/home/an000357/www/home/paybyworkout/cake/libs/controller/controller.php, line 742]
2015-02-21 22:25:18 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to MySQL server on '213.47.222.80' (4) in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 561]
2015-02-21 22:25:18 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 613]
2015-02-21 22:25:18 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/an000357/www/home/paybyworkout/cake/libs/debugger.php:686) in [/home/an000357/www/home/paybyworkout/cake/libs/controller/controller.php, line 742]
2015-02-21 22:25:58 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to MySQL server on '213.47.222.80' (4) in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 561]
2015-02-21 22:25:58 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 613]
2015-02-21 22:25:58 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/an000357/www/home/paybyworkout/cake/libs/debugger.php:686) in [/home/an000357/www/home/paybyworkout/cake/libs/controller/controller.php, line 742]
2015-02-21 22:31:57 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to MySQL server on '213.47.222.80' (4) in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 561]
2015-02-21 22:31:57 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 613]
2015-02-21 22:31:57 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/an000357/www/home/paybyworkout/cake/libs/debugger.php:686) in [/home/an000357/www/home/paybyworkout/cake/libs/controller/controller.php, line 742]
2015-02-21 22:35:07 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to MySQL server on '213.47.222.80' (4) in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 561]
2015-02-21 22:35:07 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 613]
2015-02-21 22:35:07 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/an000357/www/home/paybyworkout/cake/libs/debugger.php:686) in [/home/an000357/www/home/paybyworkout/cake/libs/controller/controller.php, line 742]
2015-02-21 22:38:25 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to MySQL server on '213.47.222.80' (4) in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 561]
2015-02-21 22:38:25 Warning: Warning (2): mysql_real_escape_string() expects parameter 2 to be resource, boolean given in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 684]
2015-02-21 22:38:25 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 613]
2015-02-21 22:38:25 Warning: Warning (2): mysql_errno(): supplied argument is not a valid MySQL-Link resource in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 695]
2015-02-21 22:44:08 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to MySQL server on '213.47.222.80' (4) in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 561]
2015-02-21 22:44:08 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 613]
2015-02-21 22:44:08 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/an000357/www/home/paybyworkout/cake/libs/debugger.php:686) in [/home/an000357/www/home/paybyworkout/cake/libs/controller/controller.php, line 742]
2015-02-22 22:49:58 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to MySQL server on '213.47.222.80' (4) in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 561]
2015-02-22 22:49:58 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 613]
2015-02-22 22:49:58 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/an000357/www/home/paybyworkout/cake/libs/debugger.php:686) in [/home/an000357/www/home/paybyworkout/cake/libs/controller/controller.php, line 742]
2015-02-22 22:56:49 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to MySQL server on '213.47.222.80' (4) in [/home/an000357/www/home/paybyworkout/cake/libs/model/datasources/dbo/dbo_mysql.php, line 561]
